Date,Stock,Headline,Label
2018-04-29,7267-JP,WSJ's Heard on the Street column says hopes for reforms are attracting auto investors,0
2018-04-29,175-HK,WSJ's Heard on the Street column says hopes for reforms are attracting auto investors,0
2018-04-29,1211-HK,WSJ's Heard on the Street column says hopes for reforms are attracting auto investors,0
2018-04-30,RNO-FR,Renault seen experiencing delays implementing its plan to limit diesel car's emissions - Les Echos,0
2018-04-30,VOW3-DE,"Volkswagen and Didi Chuxing to unveil ride-hailing jv -- WSJ, citing sources",0
2018-05-01,RNO-FR,"UK FY17 new car registrations (5.6%) y/y to ~ 2.5M units -- BBC, citing SMMT preliminary release",0
2018-05-01,7267-JP,"UK FY17 new car registrations (5.6%) y/y to ~ 2.5M units -- BBC, citing SMMT preliminary release",0
2018-05-01,VOW3-DE,"UK FY17 new car registrations (5.6%) y/y to ~ 2.5M units -- BBC, citing SMMT preliminary release",0
2018-05-01,GM-US,"UK FY17 new car registrations (5.6%) y/y to ~ 2.5M units -- BBC, citing SMMT preliminary release",0
2018-05-01,F-US,"UK FY17 new car registrations (5.6%) y/y to ~ 2.5M units -- BBC, citing SMMT preliminary release",0
2018-05-03,RNO-FR,Aston Martin lining up banks for £5bn IPO - Sky News,0
2018-05-03,RACE-IT,Aston Martin lining up banks for £5bn IPO - Sky News,0
2018-05-03,F-US,Aston Martin lining up banks for £5bn IPO - Sky News,1
2018-05-05,TSLA-US,Barron's Summary,0
2018-05-07,TSLA-US,"Figuring out if Tesla CEO Elon Musk is a once-in-a-generation talent, deeply flawed, or both - Washington Post",0
2018-05-07,7267-JP,WSJ's Heard on the Street column says higher oil prices aren't hurting car companies,1
2018-05-10,TSLA-US,Elon Musk's tweet could jeopardize settlement with SEC - WSJ,0
2018-05-11,GM-US,"UK new car registrations (3%) y/y in October - Reuters, citing preliminary data from SMMT",0
2018-05-11,VOW3-DE,"Volkswagen Financial Services sees diesel issue as no longer so relevant, expects earnings at previous year's level - Börsen-Zeitung",0
2018-05-11,VOW3-DE,"UK new car registrations (3%) y/y in October - Reuters, citing preliminary data from SMMT",0
2018-05-11,RNO-FR,"UK new car registrations (3%) y/y in October - Reuters, citing preliminary data from SMMT",0
2018-05-11,F-US,"UK new car registrations (3%) y/y in October - Reuters, citing preliminary data from SMMT",0
2018-05-11,7267-JP,"UK new car registrations (3%) y/y in October - Reuters, citing preliminary data from SMMT",0
2018-05-11,RACE-IT,Ferrari reports Q3 Adj. EPS €0.77 vs FactSet €0.96,0
2018-05-12,TSLA-US,"Tesla to begin partial production at its factory in Shanghai in H2/19 - FT, citing Shanghai municipal WeChat account",0
2018-05-13,TSLA-US,Executive absences pose one more pothole for Tesla to navigate around - WSJ,0
2018-05-13,TSLA-US,"Tesla (TSLA) exec Matthew Schwall leaves for Alphabet's Waymo -- WSJ, citing sources",0
2018-05-14,7267-JP,"Trump proposes 20% tariff, tighter emissions standards on auto imports - WSJ",0
2018-05-15,TSLA-US,Tesla engineers had concerns about Autopilot long before fatal crash - WSJ,1
2018-05-15,175-HK,Geely (175.HK) seeks valuation of $30-40B for Volvo Cars - FT,0
2018-05-15,TSLA-US,"Tesla to temporarily halt Model 3 production for fixes from 26-May to 31-May -- Reuters, citing sources",1
2018-05-18,RACE-IT,Honeywell appoints Alessandro Gili as CFO for Transportation Systems spin,0
2018-05-18,RACE-IT,Ferrari CFO Alessandro Gili to leave company 31-May to pursue other career opportunities,0
2018-05-21,VOW3-DE,UK seeks power to bring criminal charges against car emissions cheats -- FT,0
2018-05-22,7267-JP,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,0
2018-05-22,7267-JP,"China to cut import duty for passenger cars to 15% from 25%, effective 1-Jul",0
2018-05-22,F-US,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,0
2018-05-22,VOW3-DE,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,0
2018-05-22,GM-US,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,0
2018-05-22,RNO-FR,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,0
2018-05-22,TSLA-US,China to cut import duty for passenger cars to 15% from 25% - Bloomberg,1
2018-05-23,TSLA-US,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,RNO-FR,"Renault (RNO.FP), Nissan (7201.JP) merger unlikely before 2020 - Reuters, citing Renault CEO Ghosn",0
2018-05-23,175-HK,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,1211-HK,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,1211-HK,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,1211-HK,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,175-HK,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7202-JP,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,175-HK,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,RNO-FR,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,RNO-FR,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,VOW3-DE,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,2333-HK,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",1
2018-05-23,VOW3-DE,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,2333-HK,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,1
2018-05-23,2333-HK,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",1
2018-05-23,VOW3-DE,Apple signed deal with Volkswagen to turn T6 Transporter vans into self-driving shuttles for employees - NY Times,0
2018-05-23,TSLA-US,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7202-JP,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,7267-JP,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,7270-JP,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,005380-KR,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,7270-JP,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7261-JP,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7270-JP,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,500520-IN,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",1
2018-05-23,005380-KR,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,F-US,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,1
2018-05-23,F-US,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",1
2018-05-23,7267-JP,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,7267-JP,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7261-JP,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,005380-KR,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,7261-JP,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,500520-IN,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",1
2018-05-23,7202-JP,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,GM-US,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,1
2018-05-23,GM-US,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",1
2018-05-23,7269-JP,"Trump administration considering 'Section 232' investigation of car imports on national security grounds -- WSJ, citing sources",0
2018-05-23,7269-JP,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,0
2018-05-23,7269-JP,"Commerce Department initiates Section 232 investigation of auto imports, confirming earlier reports - CNBC",0
2018-05-23,500520-IN,Follow Up: Trump administration considering 'Section 232' investigation of car imports on national security grounds,1
2018-05-24,005380-KR,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,500520-IN,Trump's trade war reaches the heart of Asian exports - Nikkei,1
2018-05-24,175-HK,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,7202-JP,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,7269-JP,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,7261-JP,Trump's trade war reaches the heart of Asian exports - Nikkei,1
2018-05-24,2333-HK,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,7267-JP,WSJ's Heard on the Street column says Asian carmakers shouldn't get too worried about potential US tariffs,0
2018-05-24,7267-JP,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,005380-KR,WSJ's Heard on the Street column says Asian carmakers shouldn't get too worried about potential US tariffs,0
2018-05-24,1211-HK,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-24,7270-JP,Trump's trade war reaches the heart of Asian exports - Nikkei,0
2018-05-25,RNO-FR,Daimler may have to recall more than 600k cars amid suspicion of exhaust gas manipulation - Spiegel,0
2018-05-25,005380-KR,StreetAccount Activist Summary: Week of 21-May,0
2018-05-26,GM-US,Barron's Summary,0
2018-05-26,RACE-IT,Fiat Chrysler Automobiles to unveil vision for future without CEO Marchionne -- WSJ,0
2018-05-29,7267-JP,WSJ's Heard on the Street column says auto-loan defaults may soon rise,0
2018-05-30,TSLA-US,Consumer Reports recommends Tesla Model 3 following braking update,0
2018-05-30,7267-JP,"Honda Motor April global vehicle production +8.2% y/y to 429,248 units",1
2018-05-30,PII-US,"Polaris Industries Inc. signs definitive agreement to acquire Boat Holdings, LLC for ~$705M incl. $100M net tax benefit",0
2018-05-31,PII-US,Street Takeaways - Polaris Industries acquires Boat Holdings for NPV of $805M,1
2018-05-31,GM-US,Waymo may spend more than $2B (€1.71B) on Fiat Chrysler Automobiles minivans - WSJ,1
2018-05-31,RNO-FR,"Renault (RNO.FP) and Peugeot (UG.FP) artificially inflated car parts prices by €1.5B over a period of ten years -- Mediapart, citing two confidential documents",1
2018-06-02,175-HK,"Geely said to have bought shares in Daimler -- Reuters, citing sources",0
2018-06-02,VOW3-DE,Munich public prosecutor's office searches two of Audi facilities in continuing 'dieselgate' investigation - Sueddeutsche Zeitung,0
2018-06-02,7267-JP,Honda Motor hopes China will certify HondaJet by end of 2018 - Reuters,0
2018-06-02,PII-US,"Polaris Industries upgraded to outperform from market perform at Wells Fargo (earlier, timing uncertain)",0
2018-06-03,PII-US,Polaris Industries features previously provided guidance in slides -- 8-K,0
2018-06-03,500520-IN,"VW's Czech arm Skoda wants to conquer the booming Indian car market -- Handelsblatt, citing Skoda CEO Bernhard Maier (5-Mar, post EU close)",0
2018-06-03,VOW3-DE,Volkswagen CEO confirms market talk about truck division IPO - Reuters (5-Mar),0
2018-06-04,005380-KR,StreetAccount Activist Summary: Week of 2-Apr,0
2018-06-04,RACE-IT,Aston Martin lines up three investment banks to steer £4B stock market float - Sky News,0
2018-06-04,RNO-FR,Aston Martin lines up three investment banks to steer £4B stock market float - Sky News,0
2018-06-04,F-US,Aston Martin lines up three investment banks to steer £4B stock market float - Sky News,1
2018-06-06,175-HK,"Volco Cars plans to double sales, raise profits margins by 50% - FT",1
2018-06-08,7202-JP,StreetAccount M&A Summary: Week of 30-Jul,0
2018-06-09,PII-US,Polaris Industries to acquire WSI Industries for $7.00 per share in cash,0
2018-06-09,PII-US,Follow-up: Polaris Industries to acquire WSI Industries for $7.00 per share in cash,0
2018-06-10,TSLA-US,Barron's Summary,0
2018-06-11,NIO-US,NIO reports Q3 adjusted EPS (CNY10.35) vs FactSet (CNY2.38) -- 1 estimate,0
2018-06-12,RNO-FR,Tokyo prosecutors to file charges against Nissan Motor amidst investigations into alleged underreporting of salaries - Nikkei,1
2018-06-12,VOW3-DE,"Volkswagen brand targets €6B of cost, efficiency gains by 2023 - Handelsblatt, citing company sources",1
2018-06-14,PII-US,Polaris Industries posts analyst day slides,1
2018-06-15,VOW3-DE,Navistar trading higher; DealReporter comments cited,0
2018-06-15,GM-US,General Motors said to be considering listing shares of its autonomous driving unit GM Cruise -- Bloomberg,0
2018-06-18,VOW3-DE,"VW supervisory board wants to name Audi Sales and Marketing head BramSchot as Audi interim CEO -- Handelsblatt, citing sources",0
2018-06-19,TSLA-US,"Tesla has made about 6K Model 3 vehicles so far in June- Business Insider, citing person familiar with the matter",1
2018-06-19,F-US,"Ford and Volkswagen (VOW.GR) in talks about partnership on transporter vans -- Reuters, citing sources",0
2018-06-19,VOW3-DE,"Ford and Volkswagen (VOW.GR) in talks about partnership on transporter vans -- Reuters, citing sources",1
2018-06-20,PII-US,FTC grants antitrust clearance for Polaris' purchase of Boat Holdings,0
2018-06-21,RNO-FR,"Government seen staying in defense, civilian nuclear sectors and large national public service companies - Les Echos",1
2018-06-21,VOW3-DE,Handelsblatt article discusses Volkswagen options for new Audi CEO; sees BMW manager as possible replacement,0
2018-06-27,TSLA-US,"Tesla CEO Elon Musk, in interview: ""Most people are their own worst enemy"" - WSJ",1
2018-06-27,TSLA-US,Panasonic's automotive head comments to shareholders that a pickup in production of Tesla 3 cars has resulted in occasional battery shortages - Reuters,1
2018-06-27,RACE-IT,WSJ's Heard on the Street column says US tariffs make IPOs unlikely for European luxury car makers,0
2018-06-27,TSLA-US,Chinese firms don't need to buy US tech companies as long as they can simply hire workers away - WSJ,1
2018-06-28,7267-JP,"Honda Motor May global vehicle production +2.1% y/y to 435,848 units",1
2018-06-29,005380-KR,"Hyundai Motor Group (005380.KS) CEO waiting for an expected decline in Fiat Chrysler Automobiles shares before launching a takeover bid -- Asia Times, citing sources",0
2018-06-29,VOW3-DE,"Hyundai Motor Group (005380.KS) CEO waiting for an expected decline in Fiat Chrysler Automobiles shares before launching a takeover bid -- Asia Times, citing sources",0
2018-07-03,RNO-FR,"Follow-up: Nissan (7201.JP) in talks to buy Renault stake in merger prelude -- Reuters, citing sources",1
2018-07-03,RNO-FR,"Nissan (7201.JP) in talks to buy Renault stake in merger prelude -- Reuters, citing sources",1
2018-07-03,RNO-FR,Follow-up: French government denies plan to sell Renault stake to Nissan - Reuters (12:33 ET/18:33 CET/00:33 JT),1
2018-07-03,RNO-FR,French government denies plan to sell Renault stake to Nissan -- Bloomberg,1
2018-07-03,RNO-FR,"""Breaking - Renualt-Nissan-Mitsubishi Alliance says reports French govt in talks to sell stake are ""pure speculation"": https://t.co/bzLVnRAcYD"" - Tweet by @Petercampbell1",1
2018-07-06,7267-JP,German carmakers want the EU to offer Trump lower tariffs -- Faz,0
2018-07-06,F-US,Ford Canada to allow public companies to own its doors - Globe and Mail,0
2018-07-06,GM-US,German carmakers want the EU to offer Trump lower tariffs -- Faz,0
2018-07-06,VOLV.B-SE,Volvo downgraded to sell from neutral at UBS (timing uncertain),0
2018-07-06,RNO-FR,German carmakers want the EU to offer Trump lower tariffs -- Faz,0
2018-07-06,F-US,German carmakers want the EU to offer Trump lower tariffs -- Faz,0
2018-07-06,VOW3-DE,German carmakers want the EU to offer Trump lower tariffs -- Faz,0
2018-07-08,TSLA-US,Saudi Arabia's sovereign wealth fund said to have built 3-5% stake Tesla -- FT,0
2018-07-09,005380-KR,StreetAccount Activist Summary: Week of 3-Sep,0
2018-07-10,NIO-US,NIO initiated neutral at Goldman Sachs,0
2018-07-11,F-US,Ford has agreed to purchase electric scooter startup Spin -- Axios,0
2018-07-12,VOLV.B-SE,Volvo CEO says 2019 guidance for US truck market may be conservative - Bloomberg,1
2018-07-17,VOW3-DE,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,1
2018-07-17,GM-US,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,0
2018-07-17,F-US,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,1
2018-07-17,RACE-IT,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,0
2018-07-17,7267-JP,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,1
2018-07-17,RNO-FR,EU said to be exploring talks with Trump about lowering auto tariffs -- Bloomberg,1
2018-07-18,RACE-IT,Follow-up: EU said to be exploring talks with Trump about lowering auto tariffs - Bloomberg,0
2018-07-18,VOLV.B-SE,StreetAccount Consensus Metrics Preview - Volvo Q2 Earnings,1
2018-07-18,7267-JP,Follow-up: EU said to be exploring talks with Trump about lowering auto tariffs - Bloomberg,0
2018-07-19,7269-JP,Growing opposition against Trump's auto tariffs - WSJ,1
2018-07-19,005380-KR,Growing opposition against Trump's auto tariffs - WSJ,0
2018-07-19,7267-JP,Growing opposition against Trump's auto tariffs - WSJ,0
2018-07-19,VOLV.B-SE,StreetAccount Metrics Recap - Volvo Q2 Earnings,0
2018-07-19,RACE-IT,Follow-up: EU preparing to retaliate over car tariffs before Trump talks - Bloomberg,0
2018-07-19,7267-JP,Follow-up: EU preparing to retaliate over car tariffs before Trump talks - Bloomberg,0
2018-07-19,VOLV.B-SE,Volvo reports Q2 EPS SEK4.53 vs consensus SEK3.59,0
2018-07-19,7261-JP,Growing opposition against Trump's auto tariffs - WSJ,1
2018-07-21,RACE-IT,Ferrari announces Chairman and CEO Sergio Marchionne will be unable to return to work,0
2018-07-21,RACE-IT,"Fiat Chrysler Automobiles board names Mike Manley as CEO, replacing gravely ill Sergio Marchionne",0
2018-07-21,TSLA-US,Barron's Summary,0
2018-07-22,TSLA-US,Tesla asking some suppliers for cash back - WSJ,0
2018-07-22,GM-US,"Amazon (AMZN), Alcoa (AA), Toyota (7203.JP) among companies working to counter effects of Trump tariffs -- Reuters",0
2018-07-23,005380-KR,Ofgem proposes system reforms to support electric vehicle revolution,0
2018-07-23,PII-US,StreetAccount Consensus Metrics Preview - Polaris Industries Q2 Earnings,0
2018-07-23,RACE-IT,Street Takeaways - New CEOs at Fiat Chrysler (FCA.IM) and Ferrari (RACE.IM),0
2018-07-23,7267-JP,Ofgem proposes system reforms to support electric vehicle revolution,1
2018-07-23,7261-JP,Ofgem proposes system reforms to support electric vehicle revolution,1
2018-07-23,7269-JP,Ofgem proposes system reforms to support electric vehicle revolution,1
2018-07-24,VOW3-DE,"BMW (BMW.GR) former Head of Purchasing & Supplier Network Markus Duesmann to be Audi's new CEO - Handelsblatt, citing group circles",0
2018-07-25,PII-US,StreetAccount Metrics Recap - Polaris Industries Q2 Earnings,0
2018-07-25,PII-US,Polaris Industries reports Q2 EPS $1.77 ex-items vs FactSet $1.61,0
2018-07-25,VOW3-DE,Trump considering 25% tariff on ~$200B in foreign automobiles -- Washington Post,1
2018-07-25,RACE-IT,FCA's Sergio Marchionne has died -- Repubblica,0
2018-07-25,RNO-FR,Trump considering 25% tariff on ~$200B in foreign automobiles -- Washington Post,1
2018-07-25,7267-JP,Senators unveil bipartisan bill to delay Trump auto tariffs - CNBC,1
2018-07-25,7267-JP,Trump considering 25% tariff on ~$200B in foreign automobiles -- Washington Post,1
2018-07-25,GM-US,Trump considering 25% tariff on ~$200B in foreign automobiles -- Washington Post,0
2018-07-25,F-US,Trump considering 25% tariff on ~$200B in foreign automobiles -- Washington Post,0
2018-07-27,7267-JP,"Honda Motor June global vehicle production +0.7% y/y to 449,396 units",0
2018-07-28,005380-KR,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,7269-JP,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,RNO-FR,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,GM-US,Barron's Summary,0
2018-07-28,GM-US,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,7267-JP,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,VOW3-DE,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,F-US,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,TSLA-US,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-28,7261-JP,Major car exporters to meet 31-Jul in Geneva to discuss response to U.S. tariff threat -- Bloomberg,0
2018-07-30,VOLV.B-SE,Volvo upgraded to overweight from neutral at JPMorgan,0
2018-07-30,005380-KR,South Korea cuts auto taxes until year-end - Yonhap,0
2018-07-30,TSLA-US,Tesla in talks with German and Dutch authorities as the company looks to locate a factory in Europe - WSJ,1
2018-07-31,7267-JP,Honda Motor reports Q1 net income ¥244.30B vs FactSet ¥193.25B,1
2018-08-08,TSLA-US,No active talks now between Softbank (9984.JP) and Tesla -- Bloomberg,0
2018-08-08,TSLA-US,"Follow-up: SEC has made inquiries to Tesla over Elon Musk's 'Taking Private' tweet -- WSJ, citing sources",0
2018-08-08,TSLA-US,"SEC has made inquiries to Tesla over Elon Musk's 'Taking Private' tweet -- WSJ, citing sources",0
2018-08-08,TSLA-US,Saudi Arabia's Public Investment Fund has taken stake of nearly 5% in Tesla - WSJ,0
2018-08-09,RACE-IT,Aston Martin to appoint Penny Hughes as chairwoman -- Sky News,0
2018-08-10,NIO-US,"NIO initiated outperform at Wolfe Research, we're told",0
2018-08-10,NIO-US,NIO initiated overweight at Morgan Stanley,0
2018-08-10,NIO-US,NIO initiated neutral at Bank of America Merrill Lynch (pre-open),0
2018-08-11,F-US,"Ford's purchase of Spin valued at $80-90M - WSJ, citing people familiar with the matter",0
2018-08-11,TSLA-US,"New Tesla chairman Robyn Denholm is levelheaded, direct - WSJ, citing coworkers at Telstra",0
2018-08-12,GM-US,Barron's Summary,0
2018-08-13,TSLA-US,Saudia Arabia weighing larger Tesla stake - WSJ,0
2018-08-13,NIO-US,"NIO files $1.8B IPO through Morgan Stanley, Goldman Sachs and JP Morgan",0
2018-08-13,TSLA-US,Silver Lake not currently discussing participating in Tesla deal as an investor - Reuters,0
2018-08-14,TSLA-US,Goldman Sachs said to have no mandate when Tesla's Elon Musk tweeted about Goldman and Silver Lake acting as advisors on plans to take company private -- Bloomberg,0
2018-08-15,TSLA-US,"""SCOOP: SEC ramps up investigation into Tesla privatization plans; sends subpoenas to Tesla regarding privatization plans and Musk's statements involving ""funding secured""--sources Subpoenas signal investigation has reached the ""formal"" stages -- so",0
2018-08-16,TSLA-US,"SEC pressing Tesla directors for details on communications with Elon Musk -- WSJ, citing a source",0
2018-08-16,TSLA-US,"Tesla former security employee files whistleblower complaint with SEC, alleges company spies on its workers and suppressed internal investigation into criminal activity at its Gigafactory - CNBC",0
2018-08-16,175-HK,"Volvo Cars to press ahead with IPO later this year after indications from investors that it will hit $30B valuation - FT, citing sources",1
2018-08-16,TSLA-US,"""SCOOP: @Tesla $TSLA legal team bracing for billions of dollars in potential liability from private lawsuits over @elonmusk tweet; internal legal staff believes private litigation could be more costly than any possible @SEC_Enforcement fine...""",0
2018-08-17,TSLA-US,SEC investigates whether Tesla misled investors over Model 3 production problems - WSJ,0
2018-08-19,TSLA-US,Saudi sovereign wealth fund in talks to invest in Tesla rival Lucid Motors -- Reuters,0
2018-08-20,175-HK,StreetAccount M&A Summary: Week of 13-Aug,0
2018-08-20,VOW3-DE,Der Spiegel says current VW CEO Herbert Diess was told about the existence of cheating software in cars months before it became public,1
2018-08-21,F-US,"Mahindra & Mahindra, Ford discussing JV in India - ET Now",0
2018-08-21,500520-IN,"Mahindra & Mahindra, Ford discussing JV in India - ET Now",0
2018-08-22,500520-IN,KKR may pay EV of €6B ($6.94B) for Fiat Chrysler's Magneti Marelli unit - FT,0
2018-08-22,VOW3-DE,"Self driving car company Aurora said to have turned down approach from Volkswagen, wants to remain independent -- Bloomberg",0
2018-08-22,VOW3-DE,"Daimler wants to take 20% stake in VW's used car platformheycar -- Handelsblatt, citing sources",0
2018-08-23,TSLA-US,Elon Musk reported to have hired Morgan Stanley as adviser for Tesla privatization -- Fox Business,1
2018-08-23,VOLV.B-SE,Large holders pressing for Volvo to spin off its Volvo Construction Equipment unit - Dagens Industri,0
2018-08-24,TSLA-US,Tesla in chaos under Elon Musk - NY Post,0
2018-08-27,TSLA-US,Elon Musk wasn't as sure about taking Tesla private as his tweets made it appear - WSJ,0
2018-08-27,VOW3-DE,Elon Musk wasn't as sure about taking Tesla private as his tweets made it appear - WSJ,1
2018-08-28,NIO-US,"NIO files amended S-1; to offer 160M ADSs in the range of $6.25-8.25 per ADS through Morgan Stanley, Goldman Sachs, and JP Morgan",0
2018-08-28,RACE-IT,"""Exclusive: Aston Martin to confirm long-awaited £5bn stock market flotation alongside interim results tomorrow; luxury car-maker is in talks with potential independent board members including ex-Intercontinental Hotels Group CEO Richard Solomons. """,0
2018-08-29,RACE-IT,Ferrari upgraded to buy from hold at HSBC,0
2018-08-30,GM-US,General Motors having problems with electric cars in China - WSJ,0
2018-08-30,7267-JP,"Trump says EU offer of no auto tariffs not good enough, thinking of indexing capital gains, won't say if big tech should be broken up - Bloomberg",0
2018-08-30,NIO-US,SoftBank decides not to invest in NIO IPO - WSJ,0
2018-08-30,7267-JP,EU says it Is willing to scrap car tariffs in US trade deal - Politico,0
2018-08-30,7267-JP,"Honda Motor July global vehicle production +6.0% y/y to 421,053 units",0
2018-08-31,7267-JP,EU President Juncker says EU will respond in kind if US imposes car tariffs - Reuters,0
2018-08-31,F-US,Ford cancels plan to import China-built Focus due to the trade war-- Detroit Free Press,0
2018-08-31,175-HK,Volvo Cars CEO Håkan Samuelsson likely to leave company in 2020 -- Dagens Industri,0
2018-09-01,RACE-IT,Aston Martin's IPO could value the company at up to £5B - Bloomberg,0
2018-09-01,RNO-FR,Aston Martin's IPO could value the company at up to £5B - Bloomberg,0
2018-09-01,F-US,Aston Martin's IPO could value the company at up to £5B - Bloomberg,0
2018-09-02,RNO-FR,"Renault expected to appoint Chief Competitive Officer Thierry Bollore as COO -- Reuters, citing sources",0
2018-09-02,RACE-IT,Ferrari to launch up to €100M common shares buyback program,0
2018-09-03,175-HK,Industrivarden's Chairman says stake in Volvo is not for sale - Dagens Industri,1
2018-09-05,F-US,China asking Ford to disassemble cars before allowing them in - Reuters,0
2018-09-05,F-US,Ford confirms it will completely halt F-150 production after the 2nd shift tonight -- CNBC,0
2018-09-05,TSLA-US,CtW Investment Group urges holders to vote against three directors at Tesla's 5-Jun shareholder meeting - Bloomberg,1
2018-09-05,GM-US,China asking Ford to disassemble cars before allowing them in - Reuters,0
2018-09-06,VOW3-DE,Barron's Summary,0
2018-09-08,TSLA-US,SEC intensifying scrutiny of Tesla's public statements -- Bloomberg (14:20 ET),0
2018-09-08,TSLA-US,Tesla board plans to meet with advisers next week regarding go-private talks -- CNBC,0
2018-09-10,VOW3-DE,"Volkswagen close to hiring advisers for truck-unit IPO - Bloomberg (8-Oct, post EU close)",1
2018-09-10,175-HK,Daimler seen working with Geely on ride-hailing JV in China - Bloomberg,0
2018-09-10,NIO-US,NIO initiated neutral at UBS,0
2018-09-10,500520-IN,"Fiat Chrysler Automobiles reportedly near deal to sell Marelli unit to KKR's Calsonic -- Bloomberg (€14.72, 0.00)",1
2018-09-10,NIO-US,NIO initiated neutral at JPMorgan,0
